Age,Gender,Course,Scholarship holder,Debtor,Total_Evaluations,Average_Grade,Predicted_Dropout_Risk,Target,Marital status,Application mode,Application order,Daytime/evening attendance,Previous qualification,Displaced,Educational special needs,Tuition fees up to date,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Evaluations_1st_Sem,Curricular units 1st sem (approved),Grade_1st_Sem,Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Evaluations_2nd_Sem,Curricular units 2nd sem (approved),Grade_2nd_Sem,Curricular units 2nd sem (without evaluations),Unemployment rate,Engagement_Level,dropout_flag,high_risk_flag
20,1,2,0,0,0,0,0,Dropout,1,8,5,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.8,Inactive,0,0
19,1,11,0,0,0,1,0,Graduate,1,6,1,1,1,1,0,0,0,0,6,6,6,14,0,0,6,6,6,14,0,13.9,Inactive,0,0
19,1,5,0,0,6,14,0,Dropout,1,1,5,1,1,1,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,10.8,Active,0,0
20,0,15,0,0,0,0,0,Graduate,1,8,2,1,1,1,0,1,0,0,6,8,6,13,0,0,6,10,5,12,0,9.4,Inactive,0,0
45,0,3,0,0,10,13,0,Graduate,2,12,1,0,1,0,0,1,0,0,6,9,5,12,0,0,6,6,6,13,0,13.9,Active,0,0
50,1,17,0,1,6,13,0,Graduate,2,12,1,0,12,0,0,1,0,0,5,10,5,12,0,0,5,17,5,12,5,16.2,Active,0,0
18,0,12,1,0,17,12,0,Graduate,1,1,1,1,1,1,0,1,0,0,7,9,7,13,0,0,8,8,8,14,0,15.5,Active,0,0
22,1,11,0,0,8,14,0,Dropout,1,9,4,1,1,1,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,15.5,Active,0,0
21,0,10,1,0,5,0,0,Graduate,1,1,3,1,1,0,0,1,1,0,6,8,6,14,0,0,6,7,6,14,0,16.2,Active,0,0
18,0,10,0,1,7,14,0,Dropout,1,1,1,1,1,1,0,0,0,0,6,9,5,11,0,0,6,14,2,14,0,8.9,Active,0,0
18,0,14,0,0,14,12,0,Graduate,1,1,1,1,1,1,0,1,0,0,6,6,6,12,0,0,6,7,5,14,0,13.9,Active,0,0
18,0,12,1,0,7,13,0,Graduate,1,1,1,1,1,1,0,1,0,0,8,8,7,13,0,0,8,8,7,13,0,12.7,Active,0,0
19,0,16,0,0,8,13,0,Dropout,1,1,2,1,1,1,0,1,0,0,6,6,0,0,0,0,6,0,0,0,0,12.7,Active,0,0
21,0,11,1,0,0,0,0,Graduate,1,17,1,1,16,1,0,1,0,0,6,7,6,11,0,0,6,8,5,11,0,8.9,Inactive,0,0
18,0,6,1,0,8,11,0,Graduate,1,1,1,1,1,1,0,1,0,0,5,7,4,13,0,0,5,5,5,12,0,10.8,Active,0,0
20,0,15,0,0,5,13,0,Dropout,1,1,1,1,1,1,0,1,0,0,6,6,5,13,0,0,6,7,0,0,0,15.5,Active,0,0
18,0,10,0,0,7,7,0,Enrolled,1,9,1,1,1,1,0,1,0,0,6,10,1,12,0,0,6,14,2,11,0,10.8,Active,0,0
18,0,12,0,0,14,12,0,Graduate,1,8,2,1,1,1,0,1,0,0,7,8,7,13,0,0,8,8,8,15,0,15.5,Active,0,0
